CTL_1	CTL_2	CTL_3	CTL_4	CTL_5	CTL_6	MOTSc_1	MOTSc_2	MOTSc_3	MOTSc_4	MOTSc_5	MOTSc_6
1700001K19Rik	-6.64385618977472	0.962935704467617	-6.64385618977472	2.0748647950135	2.32304839558188	1.67969876662146	2.03938139126128	-6.64385618977472	0.0948421387169576	-0.317231805220245	1.76919772752903	1.20042094211013
1700001L05Rik	2.7621357239692	2.54295561650741	3.25373862802756	3.65754258839438	2.80765123024316	3.09191892872206	3.15296757679079	3.28333620167783	2.40592232676359	3.66581736509327	3.5031975527663	2.19727859094081
1700001O22Rik	-6.64385618977472	-6.64385618977472	-6.64385618977472	-6.64385618977472	-6.64385618977472	0.103714950057528	-6.64385618977472	1.41281316941909	0.0948421387169576	-6.64385618977472	0.192675411625683	0.206685185511951
1700003E16Rik	-6.64385618977472	0.962935704467617	1.84121979840931	2.0748647950135	0.0126070516809122	2.41486189891394	2.03938139126128	-0.161352921585953	1.08807176160853	-6.64385618977472	-6.64385618977472	1.20042094211013
1700003F12Rik	-6.64385618977472	-0.0296820176184326	1.84121979840931	-0.23343051955962	0.0126070516809122	-6.64385618977472	0.461421101633868	0.830557355095687	0.0948421387169576	-6.64385618977472	-6.64385618977472	-6.64385618977472
1700003I16Rik	-6.64385618977472	2.2804162322241	-6.64385618977472	2.0748647950135	2.00184090828498	1.67969876662146	3.03762551530974	2.14760975227898	3.25270885983741	1.99024407933836	2.50446934320968	2.5185773934316
1700006H21Rik	2.7621357239692	1.95923035133338	0.264287618621737	2.33732836312428	0.0126070516809122	2.0936099911564	-6.64385618977472	1.41281316941909	2.40592232676359	1.99024407933836	2.1831767233666	0.206685185511951
1700007K13Rik	-6.64385618977472	0.962935704467617	-6.64385618977472	-6.64385618977472	0.0126070516809122	1.67969876662146	-6.64385618977472	-0.161352921585953	0.0948421387169576	0.673752543266745	1.18634990666788	0.206685185511951
1700010I02Rik	-6.64385618977472	1.54542902747446	2.25525035741632	1.3401802957572	1.58800362237971	3.09191892872206	-6.64385618977472	-6.64385618977472	-6.64385618977472	2.4746330446966	-6.64385618977472	-6.64385618977472
1700012B09Rik	1.44339402989049	2.2804162322241	-6.64385618977472	-0.23343051955962	2.80765123024316	3.26165591192262	1.77704873787289	2.41010139537365	0.0948421387169576	2.25267315652154	2.50446934320968	1.78328930272372
1700015I17Rik	0.44868910845083	-6.64385618977472	0.264287618621737	1.3401802957572	1.00543855709188	0.103714950057528	0.461421101633868	1.41281316941909	-6.64385618977472	0.673752543266745	1.18634990666788	1.20042094211013
1700016D06Rik	2.02658717685396	0.962935704467617	0.264287618621737	0.758064101063587	-6.64385618977472	2.67744533719307	0.461421101633868	2.63210600398374	-6.64385618977472	1.25569726311801	1.76919772752903	2.5185773934316
1700017B05Rik	6.54675822389233	6.87450165373133	7.09782068933763	6.77200810694544	7.02071318678842	6.41232337079187	6.81735514117577	6.61698486945231	6.87580817662178	6.77333654521446	6.57246556421001	6.60366866895348
1700017D01Rik	2.7621357239692	-0.0296820176184326	0.264287618621737	-6.64385618977472	0.0126070516809122	1.09698618105444	-0.528138895398746	0.830557355095687	1.08807176160853	-6.64385618977472	0.192675411625683	0.206685185511951
1700017M07Rik	0.44868910845083	1.54542902747446	-6.64385618977472	1.3401802957572	0.0126070516809122	2.0936099911564	2.45354121969463	1.82649541882627	2.40592232676359	-0.317231805220245	-6.64385618977472	0.206685185511951
1700018A04Rik	-6.64385618977472	0.962935704467617	-6.64385618977472	-0.23343051955962	0.0126070516809122	-6.64385618977472	0.461421101633868	-0.161352921585953	0.0948421387169576	-0.317231805220245	-6.64385618977472	-6.64385618977472
